source_name,time(MJD),src_raj,f_range(MHz),RFI(MHz)
J0825-5010,59046.6177662037,8h26m01.91s,"(856.0, 1498.0)","[[935.442881847567, 946.8879748137739], [1117.223422674615, 1117.223422674615], [1128.6311659395656, 1128.6311659395656], [1152.0796718721276, 1155.0167539929344], [1193.2250880455786, 1193.4300636568023], [1210.7528759553438, 1219.2301994655547], [1313.0653963412863, 1313.4003310310718], [1418.851115748014, 1454.8578311726758], [1466.9929728982588, 1469.8270531950486], [1482.6519586876955, 1496.325056879447]]"
J0825-5010,59046.61435185185,8h26m01.91s,"(856.0, 1498.0)","[[885.4156282539712, 895.3172192679673], [935.4356685046877, 946.8669317056388], [1015.3546121881983, 1016.291321910413], [1117.0999132983602, 1117.0999132983602], [1128.7885193683449, 1128.7885193683449], [1149.2115782243852, 1156.9566645597283], [1173.6613682921002, 1174.564778696249], [1193.183397199663, 1194.846089834414], [1210.782058411337, 1236.250188910105], [1312.8218567841, 1313.4125072098311], [1416.5066565107632, 1454.8577509840422], [1467.1039689299962, 1469.7496815527581], [1495.9459411659527, 1496.3056513453794]]"
J0825-5010_offset,59019.668217592596,8h26m01.91s,"(544.0, 1088.0)","[[559.845477665806, 559.845477665806], [649.8881676558503, 649.8881676558503], [935.0543519440653, 947.1562126555699]]"
J0825-5010_offset,59019.6641087963,8h26m01.91s,"(544.0, 1088.0)","[[581.2829435963373, 590.9211774866689], [935.0658583853057, 947.1697807264725]]"
J0825-5010,59019.66384259259,8h26m01.91s,"(544.0, 1088.0)","[[935.0541783175526, 947.1422773701487]]"
J0825-5010_offset,59019.649722222224,8h26m01.91s,"(544.0, 1088.0)","[[558.9633001443681, 558.9633001443681], [649.8023435396894, 649.8023435396894], [935.1702406622951, 947.1567008341369], [957.2903002728832, 959.0702989134769]]"
J0825-5010_offset,59019.647002314814,8h26m01.91s,"(544.0, 1088.0)","[[560.36524166877, 560.36524166877], [637.63895605618, 637.63895605618], [935.0757140437971, 947.0772172394544]]"
J0835-4510,59019.64649305555,8h26m01.91s,"(544.0, 1088.0)","[[565.2998005815914, 565.2998005815914], [627.2523225844635, 627.2523225844635], [935.1510576200917, 947.1077115369487]]"
J0825-5010_offset,59019.623460648145,8h26m01.91s,"(544.0, 1088.0)","[[565.4335923369175, 565.4335923369175], [626.3124717641638, 626.3124717641638], [935.1100156973005, 959.8811150662938]]"
Unknown,59019.62297453704,8h26m01.91s,"(544.0, 1088.0)","[[935.0474665729342, 947.1092977008627]]"
Unknown,58947.75714120371,4h08m27.24s,"(544.0, 1088.0)","[[571.6764335956406, 571.6764335956406], [612.3937754831387, 612.3937754831387], [935.0888678944216, 947.1239487747471]]"
Unknown,58947.75633101852,8h36m01.6s,"(544.0, 1088.0)","[[935.1497655205188, 947.1341541007105]]"
Unknown,58947.754594907405,8h36m01.6s,"(544.0, 1088.0)","[[558.4702330158594, 558.4702330158594], [650.015190329341, 650.015190329341], [935.0978831389275, 947.203666934848]]"
J0825-5010_offset,59019.62876157407,8h26m01.91s,"(544.0, 1020.0)","[[561.0126857480441, 561.0126857480441], [649.8676872045421, 649.8676872045421], [901.0811555023998, 913.0849242150599]]"
